City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
140,Kabanjahe,3.1001,98.4908,78.22,61,93,6.02,258,overcast clouds,ID,2022-03-19 05:53:31
141,Nemuro,43.3236,145.575,30.31,96,100,36.66,44,snow,JP,2022-03-19 05:53:31
142,Atuona,-9.8,-139.0333,78.66,78,10,16.35,96,clear sky,PF,2022-03-19 05:53:32
143,Sao Joao Da Barra,-21.6403,-41.0511,75.83,89,1,12.82,27,clear sky,BR,2022-03-19 05:53:32
144,Mansa,29.9833,75.3833,99.52,14,0,7.85,153,clear sky,IN,2022-03-19 05:53:33
145,Shetpe,44.1667,52.1167,31.26,53,7,11.39,61,clear sky,KZ,2022-03-19 05:53:34
146,Hofn,64.2539,-15.2082,39.24,97,100,7.47,310,heavy intensity rain,IS,2022-03-19 05:53:34
147,Port-Gentil,-0.7193,8.7815,80.56,94,75,12.66,180,thunderstorm with rain,GA,2022-03-19 05:53:35
148,Kaitangata,-46.2817,169.8464,58.98,72,46,12.64,68,scattered clouds,NZ,2022-03-19 05:53:35
149,Lavrentiya,65.5833,-171.0,-11.7,86,1,8.32,311,clear sky,RU,2022-03-19 05:53:35
150,Yola,9.2,12.4833,75.65,14,7,0.36,255,clear sky,NG,2022-03-19 05:53:36
151,Saskylakh,71.9167,114.0833,18.27,94,100,9.93,190,light snow,RU,2022-03-19 05:53:36
152,Ishim,56.1128,69.4902,21.29,92,100,9.69,247,overcast clouds,RU,2022-03-19 05:53:37
153,Salalah,17.0151,54.0924,81.16,19,0,18.88,348,clear sky,OM,2022-03-19 05:53:37
154,Tuatapere,-46.1333,167.6833,62.44,72,63,6.24,190,broken clouds,NZ,2022-03-19 05:53:38
155,Port Elizabeth,-33.918,25.5701,68.31,99,75,4.61,30,fog,ZA,2022-03-19 05:53:38
156,Saint George,37.1041,-113.5841,55.63,26,0,1.99,71,clear sky,US,2022-03-19 05:52:53
157,Lompoc,34.6391,-120.4579,52.63,85,100,11.01,293,overcast clouds,US,2022-03-19 05:49:15
158,Bandarbeyla,9.4942,50.8122,81.14,60,2,10.96,56,clear sky,SO,2022-03-19 05:53:39
159,Erzin,36.9559,36.2,39.33,43,53,8.95,353,broken clouds,TR,2022-03-19 05:53:40
160,Inhambane,-23.865,35.3833,73.38,68,40,5.01,210,scattered clouds,MZ,2022-03-19 05:53:40
161,Batticaloa,7.7102,81.6924,84.13,68,5,5.26,7,clear sky,LK,2022-03-19 05:53:41
162,Quelimane,-17.8786,36.8883,76.95,94,75,9.22,150,light intensity drizzle,MZ,2022-03-19 05:53:41
163,Ozernovskiy,51.5,156.5167,34.99,79,99,4.09,110,overcast clouds,RU,2022-03-19 05:53:42
164,Beringovskiy,63.05,179.3167,-4.74,87,4,2.82,319,clear sky,RU,2022-03-19 05:53:42
165,Kieta,-6.2167,155.6333,84.2,67,19,4.09,13,few clouds,PG,2022-03-19 05:53:43
166,Isangel,-19.55,169.2667,81.3,80,99,5.68,315,overcast clouds,VU,2022-03-19 05:53:43
167,Tallahassee,30.4383,-84.2807,62.85,99,100,9.22,150,overcast clouds,US,2022-03-19 05:52:05
168,Camopi,3.1655,-52.3158,70.43,100,100,0.54,50,overcast clouds,GF,2022-03-19 05:53:44
169,Kudahuvadhoo,2.6708,72.8944,83.34,74,11,15.21,269,few clouds,MV,2022-03-19 05:53:44
170,Chuy,-33.6971,-53.4616,57.79,75,93,12.64,212,overcast clouds,UY,2022-03-19 05:53:45
171,Iqaluit,63.7506,-68.5145,-16.31,75,75,5.75,350,broken clouds,CA,2022-03-19 05:53:45
172,Ribeira Grande,38.5167,-28.7,54.27,62,100,25.72,339,overcast clouds,PT,2022-03-19 05:53:46
173,Paamiut,61.994,-49.6678,9.73,92,100,3.78,70,light snow,GL,2022-03-19 05:53:46
174,Esperance,-33.8667,121.9,67.84,79,100,17.96,163,overcast clouds,AU,2022-03-19 05:53:47
175,Olga,43.7444,135.2892,32.23,53,95,11.54,66,overcast clouds,RU,2022-03-19 05:53:47
176,Kashan,33.9831,51.4364,51.39,23,0,2.3,120,clear sky,IR,2022-03-19 05:53:48
177,Ajdabiya,30.7554,20.2263,53.44,60,53,28.9,94,broken clouds,LY,2022-03-19 05:53:48
