City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
480,Bom Jesus Da Lapa,BR,68.11,scattered clouds,-13.255,-43.4181,Hotel das Nações
485,Sao Filipe,CV,69.87,broken clouds,14.8961,-24.4956,Hotel Xaguate
486,Pishin,PK,68.52,clear sky,30.5803,66.9961,City Hotel Pishin
488,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
489,Grants Pass,US,54.3,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
492,Filingue,NE,74.41,few clouds,14.3521,3.3168,
497,Valle Hermoso,MX,60.66,broken clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
498,San Jeronimo,PE,50.22,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
499,Mbarara,UG,69.82,clear sky,-0.608,30.65,Oxford Hotel
500,Taggia,IT,54.99,overcast clouds,43.8485,7.8545,Castellaro Golf Resort Hotel
501,Bangolo,CI,70.63,broken clouds,7.0069,-7.475,RESIDENCE HÔTEL GNININSEMIN DE BANGOLO
505,Farah,AF,56.71,clear sky,32.5,62.5,
510,Yumen,CN,48.72,overcast clouds,40.2833,97.2,
513,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
516,Copiapo,CL,69.71,clear sky,-27.3667,-70.3333,Antay Casino Hotel
519,Sakakah,SA,51.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
523,Santiago,CL,73.17,broken clouds,-33.4569,-70.6483,Hotel Panamericano
525,Clearlake,US,52.79,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
527,Borba,BR,73.31,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
528,Paso De Los Toros,UY,52.56,scattered clouds,-32.8167,-56.5167,Complejo Isabelino
529,Calama,CL,54.19,clear sky,-22.4667,-68.9333,Park Hotel Calama
531,Lake Charles,US,57.97,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
534,Korem,ET,53.91,light rain,12.5058,39.5228,Lakomeliza Hotel
537,Contamana,PE,73.87,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
540,Itoman,JP,73.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
